name,geocode,year,parent_level,long_name,geo_level,parent_code
Kathmandu,100,2016,province,Kathmandu,district,3
Makwanpur,1006,2016,province,Makwanpur,district,3
Parsa,1101,2016,province,Parsa,district,2
Rautahat,1123,2016,province,Rautahat,district,2
Bhojpur,1236,2016,province,Bhojpur,district,1
Dhankuta,1299,2016,province,Dhankuta,district,1
Morang,1326,2016,province,Morang,district,1
Sankhuwasabha,1394,2016,province,Sankhuwasabha,district,1
Sunsari,1467,2016,province,Sunsari,district,1
Terathum,1475,2016,province,Terathum,district,
Ilam,1538,2016,province,Ilam,district,1
Jhapa,1581,2016,province,Jhapa,district,1
Panchthar,1658,2016,province,Panchthar,district,1
Taplejung,1659,2016,province,Taplejung,district,1
Khotang,1709,2016,province,Khotang,district,1
Okhaldhunga,1809,2016,province,Okhaldhunga,district,1
Kavrepalanchok,190,2016,province,Kavrepalanchok,district,
Saptari,1910,2016,province,Saptari,district,2
Bhaktapur,2,2016,province,Bhaktapur,district,3
Siraha,2001,2016,province,Siraha,district,2
Solukhumbu,2050,2016,province,Solukhumbu,district,1
Udayapur,2123,2016,province,Udayapur,district,1
Baitadi,2132,2016,province,Baitadi,district,7
Dadeldhura,2192,2016,province,Dadeldhura,district,7
Darchula,2221,2016,province,Darchula,district,7
Kanchanpur,2269,2016,province,Kanchanpur,district,7
Achham,2329,2016,province,Achham,district,7
Bajhang,2349,2016,province,Bajhang,district,7
Bajura,2407,2016,province,Bajura,district,7
Lalitpur,244,2016,province,Lalitpur,district,3
Doti,2440,2016,province,Doti,district,7
Kailali,2503,2016,province,Kailali,district,7
Banke,2530,2016,province,Banke,district,5
Bardiya,2593,2016,province,Bardiya,district,5
Surkhet,2618,2016,province,Surkhet,district,6
Dang,2671,2016,province,Dang,district,5
Nuwakot,268,2016,province,Nuwakot,district,3
Pyuthan,2714,2016,province,Pyuthan,district,5
Rolpa,2785,2016,province,Rolpa,district,5
Rukum,2807,2016,province,Rukum,district,
Salyan,2856,2016,province,Salyan,district,6
Baglung,2890,2016,province,Baglung,district,4
Mustang,2920,2016,province,Mustang,district,4
Myagdi,2972,2016,province,Myagdi,district,4
Parbat,3020,2016,province,Parbat,district,4
Gorkha,3077,2016,province,Gorkha,district,4
Kaski,3111,2016,province,Kaski,district,4
Rasuwa,319,2016,province,Rasuwa,district,3
Lamjung,3190,2016,province,Lamjung,district,4
Manag,3212,2016,province,Manag,district,
Syangja,3227,2016,province,Syangja,district,4
Tanahun,3324,2016,province,Tanahun,district,
Arghakhanchi,3357,2016,province,Arghakhanchi,district,5
Gulmi,3427,2016,province,Gulmi,district,5
Kapilbastu,3487,2016,province,Kapilbastu,district,
Nawalparasi,3579,2016,province,Nawalparasi,district,
Nawalparasi,3585,2016,province,Nawalparasi,district,
Palpa,3630,2016,province,Palpa,district,5
Rupandehi,3703,2016,province,Rupandehi,district,5
Rupandehi,3715,2016,province,Rupandehi,district,5
Humla,3738,2016,province,Humla,district,6
Mugu,3746,2016,province,Mugu,district,6
Dolpa,3751,2016,province,Dolpa,district,6
Jumla,3759,2016,province,Jumla,district,6
Kalikot,3768,2016,province,Kalikot,district,6
Jajarkot,3783,2016,province,Jajarkot,district,6
Dailekh,3792,2016,province,Dailekh,district,6
Dhanusa,496,2016,province,Dhanusa,district,2
Dhading,51,2016,province,Dhading,district,3
Dolakha,528,2016,province,Dolakha,district,3
Mahottari,614,2016,province,Mahottari,district,2
Ramechhap,650,2016,province,Ramechhap,district,3
Sarlahi,763,2016,province,Sarlahi,district,2
Sindhupalchowk,81,2016,province,Sindhupalchowk,district,
Sindhuli,829,2016,province,Sindhuli,district,3
Chitwan,953,2016,province,Chitwan,district,3
Bara,5555,2016,province,Bara,district,2
