name,geocode,year,parent_level,long_name,geo_level,parent_code
Achham,dis-01,2016,province,Achham,district,pro-7
Arghakhanchi,dis-02,2016,province,Arghakhanchi,district,pro-5
Baglung,dis-03,2016,province,Baglung,district,pro-4
Baitadi,dis-04,2016,province,Baitadi,district,pro-7
Bajhang,dis-05,2016,province,Bajhang,district,pro-7
Bajura,dis-06,2016,province,Bajura,district,pro-7
Banke,dis-07,2016,province,Banke,district,pro-5
Bara,dis-08,2016,province,Bara,district,pro-2
Bardiya,dis-09,2016,province,Bardiya,district,pro-5
Bhaktapur,dis-10,2016,province,Bhaktapur,district,pro-3
Bhojpur,dis-11,2016,province,Bhojpur,district,pro-1
Chitwan,dis-12,2016,province,Chitwan,district,pro-3
Dadeldhura,dis-13,2016,province,Dadeldhura,district,pro-7
Dailekh,dis-14,2016,province,Dailekh,district,pro-6
Dang,dis-15,2016,province,Dang,district,pro-5
Darchula,dis-16,2016,province,Darchula,district,pro-7
Dhading,dis-17,2016,province,Dhading,district,pro-3
Dhankuta,dis-18,2016,province,Dhankuta,district,pro-1
Dhanusa,dis-19,2016,province,Dhanusa,district,pro-2
Dolakha,dis-20,2016,province,Dolakha,district,pro-3
Dolpa,dis-21,2016,province,Dolpa,district,pro-6
Doti,dis-22,2016,province,Doti,district,pro-7
Gorkha,dis-23,2016,province,Gorkha,district,pro-4
Gulmi,dis-24,2016,province,Gulmi,district,pro-5
Humla,dis-25,2016,province,Humla,district,pro-6
Ilam,dis-26,2016,province,Ilam,district,pro-1
Jajarkot,dis-27,2016,province,Jajarkot,district,pro-6
Jhapa,dis-28,2016,province,Jhapa,district,pro-1
Jumla,dis-29,2016,province,Jumla,district,pro-6
Kailali,dis-30,2016,province,Kailali,district,pro-7
Kalikot,dis-31,2016,province,Kalikot,district,pro-6
Kanchanpur,dis-32,2016,province,Kanchanpur,district,pro-7
Kapilbastu,dis-33,2016,province,Kapilbastu,district,pro-5
Kaski,dis-34,2016,province,Kaski,district,pro-4
Kathmandu,dis-35,2016,province,Kathmandu,district,pro-3
Kavrepalanchowk,dis-36,2016,province,Kavrepalanchowk,district,pro-3
Khotang,dis-37,2016,province,Khotang,district,pro-1
Lalitpur,dis-38,2016,province,Lalitpur,district,pro-3
Lamjung,dis-39,2016,province,Lamjung,district,pro-4
Mahottari,dis-40,2016,province,Mahottari,district,pro-2
Makwanpur,dis-41,2016,province,Makwanpur,district,pro-3
Manang,dis-42,2016,province,Manang,district,pro-4
Morang,dis-43,2016,province,Morang,district,pro-1
Mugu,dis-44,2016,province,Mugu,district,pro-6
Mustang,dis-45,2016,province,Mustang,district,pro-4
Myagdi,dis-46,2016,province,Myagdi,district,pro-4
Nawalparasi East,dis-47,2016,province,Nawalparasi East,district,pro-4
Nuwakot,dis-48,2016,province,Nuwakot,district,pro-3
Okhaldhunga,dis-49,2016,province,Okhaldhunga,district,pro-1
Palpa,dis-50,2016,province,Palpa,district,pro-5
Panchthar,dis-51,2016,province,Panchthar,district,pro-1
Parbat,dis-52,2016,province,Parbat,district,pro-4
Parsa,dis-53,2016,province,Parsa,district,pro-2
Pyuthan,dis-54,2016,province,Pyuthan,district,pro-5
Ramechhap,dis-55,2016,province,Ramechhap,district,pro-3
Rasuwa,dis-56,2016,province,Rasuwa,district,pro-3
Rautahat,dis-57,2016,province,Rautahat,district,pro-2
Rolpa,dis-58,2016,province,Rolpa,district,pro-5
Rukum East,dis-59,2016,province,Rukum East,district,pro-5
Rupandehi,dis-60,2016,province,Rupandehi,district,pro-5
Salyan,dis-61,2016,province,Salyan,district,pro-6
Sankhuwasabha,dis-62,2016,province,Sankhuwasabha,district,pro-1
Saptari,dis-63,2016,province,Saptari,district,pro-2
Sarlahi,dis-64,2016,province,Sarlahi,district,pro-2
Sindhuli,dis-65,2016,province,Sindhuli,district,pro-3
Sindhupalchowk,dis-66,2016,province,Sindhupalchowk,district,pro-3
Siraha,dis-67,2016,province,Siraha,district,pro-2
Solukhumbu,dis-68,2016,province,Solukhumbu,district,pro-1
Sunsari,dis-69,2016,province,Sunsari,district,pro-1
Surkhet,dis-70,2016,province,Surkhet,district,pro-6
Syangja,dis-71,2016,province,Syangja,district,pro-4
Tanahu,dis-72,2016,province,Tanahu,district,pro-4
Taplejung,dis-73,2016,province,Taplejung,district,pro-1
Terhathum,dis-74,2016,province,Terhathum,district,pro-1
Udayapur,dis-75,2016,province,Udayapur,district,pro-1
Nawalparasi West,dis-76,2016,province,Nawalparasi West,district,pro-5
Rukum West,dis-77,2016,province,Rukum West,district,pro-6
